_id,KPI,Frequency,CalendarYear,StartDate,EndDate,Route,TripsOperatedPercent,TripsOperatedTotal,TripsNotOperatedPercent,TripsNotOperatedTotal,TripsTotal,FiscalYearName,FiscalYearStartDate,FiscalYearEndDate
1,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,10,91.38,40895,8.62,3856,44751,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
2,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,12,96.09,31327,3.91,1276,32603,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
3,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,14,92.17,35586,7.83,3024,38610,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
4,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,18,96.35,45727,3.65,1730,47457,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
5,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,19,98.97,11919,1.03,124,12043,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
6,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,1T,92.68,73381,7.32,5795,79176,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
7,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,20,93.0,25856,7.0,1945,27801,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
8,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,200,94.16,36791,5.84,2281,39072,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
9,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,21,92.8,22171,7.2,1720,23891,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
10,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,210,96.28,22411,3.72,866,23277,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
11,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,212,96.9,19083,3.1,610,19693,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
12,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,215,98.04,7403,1.96,148,7551,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
13,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,216,98.34,9328,1.66,157,9485,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
14,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,217,97.3,21766,2.7,605,22371,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
15,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,232,97.04,9213,2.96,281,9494,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
16,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,239,98.67,15167,1.33,204,15371,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
17,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,251,97.12,9234,2.88,274,9508,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
18,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,28,96.62,11985,3.38,419,12404,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
19,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,29,97.57,26275,2.43,654,26929,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
20,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,33,97.41,41023,2.59,1092,42115,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
21,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,34,95.31,11802,4.69,581,12383,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
22,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,35,94.36,11999,5.64,717,12716,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
23,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,36,97.35,26273,2.65,715,26988,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
24,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,376,87.31,8761,12.69,1273,10034,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
25,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,39,98.07,8263,1.93,163,8426,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
26,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,40,92.4,59526,7.6,4895,64421,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
27,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,41,97.52,12096,2.48,308,12404,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
28,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,45,92.5,25509,7.5,2068,27577,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
29,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,46L,97.96,6661,2.04,139,6800,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
30,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,51A,91.06,56969,8.94,5590,62559,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
31,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,51B,95.88,59445,4.12,2554,61999,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
32,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,52,96.77,40576,3.23,1356,41932,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
33,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,54,94.86,38388,5.14,2079,40467,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
34,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,56,97.71,12098,2.29,283,12381,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
35,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,57,95.48,55746,4.52,2637,58383,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
36,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,6,96.15,59893,3.85,2400,62293,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
37,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,60,96.43,19005,3.57,704,19709,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
38,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,604,99.5,595,0.5,3,598,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
39,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,605,99.75,401,0.25,1,402,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
40,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,606,99.25,398,0.75,3,401,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
41,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,607,99.44,179,0.56,1,180,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
42,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,617,97.82,538,2.18,12,550,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
43,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,62,92.41,34145,7.59,2805,36950,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
44,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,620,100.0,360,0.0,0,360,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
45,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,621,100.0,540,0.0,0,540,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
46,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,623,99.81,1617,0.19,3,1620,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
47,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,624,100.0,360,0.0,0,360,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
48,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,625,99.26,537,0.74,4,541,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
49,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,626,99.72,359,0.28,1,360,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
50,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,628,100.0,360,0.0,0,360,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
51,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,629,100.0,360,0.0,0,360,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
52,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,631,100.0,720,0.0,0,720,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
53,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,638,98.63,360,1.37,5,365,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
54,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,641,99.81,539,0.19,1,540,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
55,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,642,96.76,179,3.24,6,185,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
56,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,646,98.32,1635,1.68,28,1663,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
57,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,648,97.93,711,2.07,15,726,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
58,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,649,98.77,721,1.23,9,730,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
59,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,65,98.8,9165,1.2,111,9276,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
60,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,650,96.7,352,3.3,12,364,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
61,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,652,95.97,357,4.03,15,372,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
62,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,653,95.12,351,4.88,18,369,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
63,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,654,97.09,1069,2.91,32,1101,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
64,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,655,98.36,359,1.64,6,365,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
65,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,657,99.07,1071,0.93,10,1081,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
66,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,658,97.67,712,2.33,17,729,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
67,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,660,97.28,393,2.72,11,404,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
68,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,662,98.08,358,1.92,7,365,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
69,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,663,99.5,396,0.5,2,398,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
70,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,667,99.31,715,0.69,5,720,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
71,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,669,99.63,538,0.37,2,540,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
72,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,67,98.09,11377,1.91,222,11599,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
73,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,671,98.61,709,1.39,10,719,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
74,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,672,99.44,358,0.56,2,360,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
75,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,675,99.37,1252,0.63,8,1260,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
76,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,676,99.08,536,0.92,5,541,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
77,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,677,97.0,356,3.0,11,367,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
78,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,680,99.75,401,0.25,1,402,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
79,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,681,98.89,356,1.11,4,360,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
80,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,682,99.0,1194,1.0,12,1206,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
81,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,684,97.13,711,2.87,21,732,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
82,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,687,99.63,538,0.37,2,540,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
83,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,688,100.0,399,0.0,0,399,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
84,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,696,99.16,356,0.84,3,359,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
85,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,7,97.55,11310,2.45,284,11594,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
86,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,70,95.94,9719,4.06,411,10130,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
87,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,701,96.17,703,3.83,28,731,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
88,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,702,96.45,462,3.55,17,479,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
89,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,703,97.81,223,2.19,5,228,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
90,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,706,100.0,479,0.0,0,479,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
91,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,707,99.56,225,0.44,1,226,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
92,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,71,90.43,16272,9.57,1723,17995,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
93,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,72,89.95,24644,10.05,2753,27397,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
94,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,72M,90.53,23791,9.47,2489,26280,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
95,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,72R,87.8,38727,12.2,5380,44107,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
96,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,73,94.12,49453,5.88,3092,52545,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
97,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,74,93.33,21480,6.67,1536,23016,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
98,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,76,91.13,20423,8.87,1988,22411,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
99,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,78,97.68,5924,2.32,141,6065,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
100,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,79,98.11,22215,1.89,429,22644,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
101,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,800,97.54,11024,2.46,278,11302,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
102,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,801,97.34,9230,2.66,252,9482,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
103,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,802,98.39,3968,1.61,65,4033,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
104,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,805,97.28,4294,2.72,120,4414,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
105,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,840,98.01,4288,1.99,87,4375,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
106,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,851,99.29,3622,0.71,26,3648,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
107,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,86,99.45,25520,0.55,140,25660,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
108,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,88,97.23,41640,2.77,1188,42828,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
109,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,90,93.74,31837,6.26,2126,33963,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
110,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,93,96.38,15496,3.62,582,16078,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
111,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,95,99.58,15624,0.42,66,15690,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
112,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,96,97.61,23512,2.39,575,24087,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
113,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,97,91.96,35706,8.04,3121,38827,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
114,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,98,94.9,31661,5.1,1702,33363,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
115,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,99,93.55,36014,6.45,2482,38496,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
116,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,E,97.3,1980,2.7,55,2035,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
117,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,F,98.85,28045,1.15,325,28370,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
118,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,FS,98.71,996,1.29,13,1009,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
119,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,G,98.98,1748,1.02,18,1766,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
120,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,J,99.01,1995,0.99,20,2015,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
121,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,L,99.33,1477,0.67,10,1487,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
122,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,LA,99.14,1275,0.86,11,1286,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
123,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,NL,93.71,34642,6.29,2326,36968,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
124,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,NX,97.51,1721,2.49,44,1765,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
125,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,NX3,98.41,1738,1.59,28,1766,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
126,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,O,95.68,23052,4.32,1042,24094,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
127,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,OX,96.16,1955,3.84,78,2033,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
128,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,P,98.74,2986,1.26,38,3024,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
129,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,System Wide,94.82,1759093,5.18,96159,1855252,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
130,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,U,99.46,2756,0.54,15,2771,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
131,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,V,97.85,1732,2.15,38,1770,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
132,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,W,97.91,1965,2.09,42,2007,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
133,Service Operated,Monthly,2022,2022-01-01T00:00:00,2022-01-31T00:00:00,10,86.03,3233,13.97,525,3758,2021-22,2021-07-01T00:00:00,2022-06-30T00:00:00
134,Service Operated,Monthly,2022,2022-01-01T00:00:00,2022-01-31T00:00:00,12,90.6,1967,9.4,204,2171,2021-22,2021-07-01T00:00:00,2022-06-30T00:00:00
135,Service Operated,Monthly,2022,2022-01-01T00:00:00,2022-01-31T00:00:00,14,82.03,2625,17.97,575,3200,2021-22,2021-07-01T00:00:00,2022-06-30T00:00:00
136,Service Operated,Monthly,2022,2022-01-01T00:00:00,2022-01-31T00:00:00,18,88.27,2928,11.73,389,3317,2021-22,2021-07-01T00:00:00,2022-06-30T00:00:00
137,Service Operated,Monthly,2022,2022-01-01T00:00:00,2022-01-31T00:00:00,19,96.38,986,3.62,37,1023,2021-22,2021-07-01T00:00:00,2022-06-30T00:00:00
138,Service Operated,Monthly,2022,2022-01-01T00:00:00,2022-01-31T00:00:00,1T,92.07,6058,7.93,522,6580,2021-22,2021-07-01T00:00:00,2022-06-30T00:00:00
139,Service Operated,Monthly,2022,2022-01-01T00:00:00,2022-01-31T00:00:00,20,84.82,1989,15.18,356,2345,2021-22,2021-07-01T00:00:00,2022-06-30T00:00:00
140,Service Operated,Monthly,2022,2022-01-01T00:00:00,2022-01-31T00:00:00,200,94.64,3144,5.36,178,3322,2021-22,2021-07-01T00:00:00,2022-06-30T00:00:00
141,Service Operated,Monthly,2022,2022-01-01T00:00:00,2022-01-31T00:00:00,21,85.38,1688,14.62,289,1977,2021-22,2021-07-01T00:00:00,2022-06-30T00:00:00
142,Service Operated,Monthly,2022,2022-01-01T00:00:00,2022-01-31T00:00:00,210,93.93,1841,6.07,119,1960,2021-22,2021-07-01T00:00:00,2022-06-30T00:00:00
143,Service Operated,Monthly,2022,2022-01-01T00:00:00,2022-01-31T00:00:00,212,91.73,1553,8.27,140,1693,2021-22,2021-07-01T00:00:00,2022-06-30T00:00:00
144,Service Operated,Monthly,2022,2022-01-01T00:00:00,2022-01-31T00:00:00,215,97.0,582,3.0,18,600,2021-22,2021-07-01T00:00:00,2022-06-30T00:00:00
145,Service Operated,Monthly,2022,2022-01-01T00:00:00,2022-01-31T00:00:00,216,97.27,784,2.73,22,806,2021-22,2021-07-01T00:00:00,2022-06-30T00:00:00
146,Service Operated,Monthly,2022,2022-01-01T00:00:00,2022-01-31T00:00:00,217,96.79,1842,3.21,61,1903,2021-22,2021-07-01T00:00:00,2022-06-30T00:00:00
147,Service Operated,Monthly,2022,2022-01-01T00:00:00,2022-01-31T00:00:00,232,95.53,770,4.47,36,806,2021-22,2021-07-01T00:00:00,2022-06-30T00:00:00
148,Service Operated,Monthly,2022,2022-01-01T00:00:00,2022-01-31T00:00:00,239,95.33,1163,4.67,57,1220,2021-22,2021-07-01T00:00:00,2022-06-30T00:00:00
149,Service Operated,Monthly,2022,2022-01-01T00:00:00,2022-01-31T00:00:00,251,95.52,747,4.48,35,782,2021-22,2021-07-01T00:00:00,2022-06-30T00:00:00
150,Service Operated,Monthly,2022,2022-01-01T00:00:00,2022-01-31T00:00:00,28,93.59,1007,6.41,69,1076,2021-22,2021-07-01T00:00:00,2022-06-30T00:00:00
151,Service Operated,Monthly,2022,2022-01-01T00:00:00,2022-01-31T00:00:00,29,80.76,1066,19.24,254,1320,2021-22,2021-07-01T00:00:00,2022-06-30T00:00:00
152,Service Operated,Monthly,2022,2022-01-01T00:00:00,2022-01-31T00:00:00,33,88.58,2824,11.42,364,3188,2021-22,2021-07-01T00:00:00,2022-06-30T00:00:00
153,Service Operated,Monthly,2022,2022-01-01T00:00:00,2022-01-31T00:00:00,34,93.86,979,6.14,64,1043,2021-22,2021-07-01T00:00:00,2022-06-30T00:00:00
154,Service Operated,Monthly,2022,2022-01-01T00:00:00,2022-01-31T00:00:00,35,93.36,1013,6.64,72,1085,2021-22,2021-07-01T00:00:00,2022-06-30T00:00:00
